What is the capital of France?,Paris,Berlin,Madrid,London,A
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Earth,A
What is the largest mammal in the world?,Blue Whale,Giraffe,Elephant,Lion,A
Which gas do plants absorb during photosynthesis?,Carbon Dioxide,Nitrogen,Oxygen,Hydrogen,A
What is the powerhouse of the cell?,Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,Nucleus,A
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,A
What is the chemical symbol for gold?,Au,Ag,Hg,Cu,A
Which country is known as the Land of the Rising Sun?,Japan,China,India,South Korea,A
Which year did Christopher Columbus reach the Americas?,1492,1776,1865,1950,A
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,A
How many continents are there on Earth?,7,5,6,8,A
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A
What gas do plants release during photosynthesis?,Oxygen,Carbon Dioxide,Nitrogen,Methane,A
Which planet is known as the "Morning Star" or "Evening Star"?,Venus,Mars,Jupiter,Saturn,A
Who is the author of "To Kill a Mockingbird"?,Harper Lee,George Orwell,Ernest Hemingway,J.K. Rowling,A
What is the largest country by land area?,Russia,Canada,China,USA,A
In which city is the Eiffel Tower located?,Paris,London,Rome,Berlin,A
What is the smallest prime number?,2,1,3,5,A
What is the chemical symbol for iron?,Fe,Pb,Cu,Ag,A
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,A
